news_id,legacy_record_id,phase,country,conflict_name,metric,value,unit,event_or_person_scope,news_headline,news_summary,news_source_url,news_date,news_category,source_id,citation_text,verified_by,verification_status,confidence_level,notes
NI-009,,phase2_sudan,Sudan,Sudanese Civil Conflict,other,42000,persons,EVT-021,"42,000 people assisted with a month of food across Al Obeid","ICRC reported that 42,000 people were assisted with a month's worth of food across camps and urban settlements in Al Obeid.",https://www.icrc.org/en/where-we-work/sudan,2026-07-02,humanitarian update,icrc_sudan,"ICRC reported that 42,000 people were assisted with a month's worth of food across camps and urban settlements in Al Obeid.",icrc_sudan,verified,high,Linked to verified event EVT-021.
NI-010,,phase2_sudan,Sudan,Sudanese Civil Conflict,children_killed,7000,persons,EVT-021,"Over 7,000 children and lactating women receive nutritional supplements","Nutritional supplements were distributed to over 7,000 children and pregnant and lactating women in Al Obeid food assistance.",https://www.icrc.org/en/where-we-work/sudan,2026-07-02,child impact,icrc_sudan,"ICRC reported that nutritional supplements were distributed to over 7,000 children and pregnant and lactating women.",icrc_sudan,verified,high,Linked to verified event EVT-021; child_flag set in persons per_007.
NI-011,,phase2_sudan,Sudan,Sudanese Civil Conflict,other,850,persons,EVT-022,Over 850 weapon-wounded patients treated at Al Obeid Teaching Hospital,More than 850 weapon-wounded patients were treated at Al Obeid Teaching Hospital since the beginning of the year.,https://www.icrc.org/en/where-we-work/sudan,2026-07-02,medical workers,icrc_sudan,ICRC reported that more than 850 weapon-wounded patients were treated at Al Obeid Teaching Hospital since the beginning of the year.,icrc_sudan,verified,high,Linked to verified event EVT-022; entity ENT-P2-06 Al Obeid Teaching Hospital.
NI-012,,phase2_sudan,Sudan,Sudanese Civil Conflict,other,6000,persons,EVT-023,"Cholera-prevention and sanitation activities for 6,000 displaced households","ICRC documented cholera-prevention and sanitation activities for 6,000 displaced households in Al Obeid displacement sites.",https://www.icrc.org/en/where-we-work/sudan,2026-07-02,humanitarian update,icrc_sudan,"ICRC documented that cholera-prevention and sanitation activities are being conducted for 6,000 displaced households.",icrc_sudan,verified,high,Linked to verified event EVT-023.
NI-013,,phase2_sudan,Sudan,Sudanese Civil Conflict,other,2400000,persons,EVT-030,Rehabilitated water infrastructure to serve ~2.4 million in Khartoum,Rehabilitated water pumps and treatment equipment are expected to provide safe water access to approximately 2.4 million people in Khartoum state.,https://www.icrc.org/en/where-we-work/sudan,2026-07-02,humanitarian update,icrc_sudan,ICRC reported rehabilitation and donation of water pumps and treatment equipment expected to provide safe water access to approximately 2.4 million people in Khartoum state.,icrc_sudan,verified,high,Linked to verified event EVT-030 (2025 impact summary).
NI-014,,phase2_sudan,Sudan,Sudanese Civil Conflict,other,36,persons,EVT-025,36 trained Red Crescent volunteers deployed across 12 displacement sites,ICRC reported that 36 trained Red Crescent volunteers are deployed across 12 displacement sites in Al Obeid providing first aid.,https://www.icrc.org/en/where-we-work/sudan,2026-07-02,humanitarian update,icrc_sudan,ICRC reported that 36 trained Red Crescent volunteers are deployed across 12 displacement sites in Al Obeid.,icrc_sudan,verified,high,Linked to verified event EVT-025; entity ENT-P2-02 Sudanese Red Crescent.
NI-015,,phase2_sudan,Sudan,Sudanese Civil Conflict,other,0,persons,EVT-027,ACLED records sustained heavy clashes in Khartoum with civilian displacement,ACLED reported sustained heavy clashes in Khartoum resulting in large-scale displacement and reports of civilian casualties; exact figures vary across sources.,https://acleddata.com/,2026-07-12,casualties,acled_sudan_conf,ACLED reported sustained heavy clashes in Khartoum resulting in large-scale displacement and reports of civilian casualties.,acled_sudan_conf,estimated,medium,Linked to estimated event EVT-027.
NI-016,,phase2_sudan,Sudan,Sudanese Civil Conflict,other,0,persons,EVT-026,Displaced families flee Al Fasher hostilities to Tawila town,"Hundreds of displaced families fled hostilities and violence in Al Fasher, seeking shelter in Tawila town in North Darfur.",https://www.icrc.org/en/where-we-work/sudan,2026-07-02,humanitarian update,icrc_sudan,"ICRC reported that hundreds of displaced families fled hostilities and violence in Al Fasher, seeking shelter in Tawila town.",icrc_sudan,verified,high,Linked to verified event EVT-026.
NI-001,,phase2_sudan,Sudan,Sudanese Civil Conflict,total_killed,2,persons,,,Total Killed: 2 (persons).,,,casualties,SRC-S012,Sum of fatalities across verified events in this phase.,SRC-S012|SRC-S014|icrc_sudan|who_sudan_health2,verified,high,Sum of fatalities across verified events in this phase. [Auto-computed aggregate from verified events/persons; CIVID-aggregation when no single source applies.]
NI-002,,phase2_sudan,Sudan,Sudanese Civil Conflict,children_killed,0,persons,,,Children Killed: 0 (persons).,,,child impact,SRC-S012,Count of verified person rows flagged child_flag (proxy for children in records).,SRC-S012|SRC-S014|icrc_sudan|who_sudan_health2,verified,medium,Count of verified person rows flagged child_flag (proxy for children in records). [Auto-computed aggregate from verified events/persons; CIVID-aggregation when no single source applies.]
