news_id,legacy_record_id,phase,country,conflict_name,metric,value,unit,event_or_person_scope,news_headline,news_summary,news_source_url,news_date,news_category,source_id,citation_text,verified_by,verification_status,confidence_level,notes
NI-009,,phase3_iran,Iran,Iran-Israel Twelve-Day War,total_killed,1190,persons,EVT-002,"Iran war death toll reaches 1,190 (HRANA)","HRANA reported 1,190 killed (436 civilians, 435 military, 319 unconfirmed) and 4,475 injured in the Iran-Israel Twelve-Day War as of 28 June 2025.",https://www.en-hrana.org/twelve-days-under-fire-a-comprehensive-report-on-the-iran-israel-war/,2025-06-28,casualties,hrana_ir,"HRANA comprehensive report: 1,190 killed, 4,475 injured; breakdown 436 civilians, 435 military, 319 unconfirmed.",hrana_ir,verified,medium,Linked to EVT-002.
NI-010,,phase3_iran,Iran,Iran-Israel Twelve-Day War,total_killed,1060,persons,EVT-001,"Iran raises official death toll to 1,060 (Health Ministry / AP)","Iranian Ministry of Health raised the official war death toll to 1,060 with 4,000+ wounded; AP reported the figure on 8 July 2025.",https://apnews.com/article/iran-israel-war-death-toll-569128effa8aafd9d9bd04efe5c0de75,2025-07-08,casualties,ap_ir,"AP: Iran raised official death toll from war with Israel to 1,060 (8 July 2025).",ap_ir,verified,medium,Linked to EVT-001.
NI-011,,phase3_iran,Iran,Iran-Israel Twelve-Day War,commanders_killed,4,persons,EVT-003,Top Iranian commanders killed in Tehran strike,"Israeli strike on a Tehran command center killed IRGC leadership including Mohammad Bagheri, Hossein Salami, Amir Ali Hajizadeh and Gholam Ali Rashid.",https://acleddata.com/qa/qa-twelve-days-shook-region-inside-iran-israel-war,2025-06-13,leaders,acled_ir,ACLED/HRANA: strike killed most of IRGC Aerospace Force leadership and senior commanders.,acled_ir|hrana_ir,verified,high,Linked to EVT-003; persons rows per_1..per_4.
NI-012,,phase3_iran,Iran,Iran-Israel Twelve-Day War,other,360,strike events,EVT-004,Nearly 360 Israeli strikes across 27 Iranian provinces,"ACLED recorded nearly 360 Israeli attacks across 27 Iranian provinces over 12 days, with over 150 strikes on military targets.",https://acleddata.com/iran-crisis-live,2025-06-24,humanitarian update,acled_ir,ACLED Iran war updates: ~360 Israeli attacks across 27 provinces.,acled_ir,verified,high,Linked to EVT-004.
NI-001,,phase3_iran,Iran,Iran-Israel Twelve-Day War,total_killed,2259,persons,,,Total Killed: 2259 (persons).,,,casualties,acled_ir,Sum of fatalities across verified events in this phase.,acled_ir|hrana_ir|iran_moh_ir,verified,high,Sum of fatalities across verified events in this phase.
NI-002,,phase3_iran,Iran,Iran-Israel Twelve-Day War,children_killed,0,persons,,,Children Killed: 0 (persons).,,,child impact,acled_ir,Count of verified person rows flagged child_flag (proxy for children in records).,acled_ir|hrana_ir|iran_moh_ir,verified,medium,Count of verified person rows flagged child_flag (proxy for children in records).
NI-003,,phase3_iran,Iran,Iran-Israel Twelve-Day War,women_killed,0,persons,,,Women Killed: 0 (persons).,,,casualties,acled_ir,Not derivable without per-victim fatality link; 0 until modeled.,acled_ir|hrana_ir|iran_moh_ir,verified,low,Not derivable without per-victim fatality link; 0 until modeled.
NI-004,,phase3_iran,Iran,Iran-Israel Twelve-Day War,doctors_killed,0,persons,,,Doctors Killed: 0 (persons).,,,medical workers,acled_ir,Count of verified person rows flagged doctor_flag.,acled_ir|hrana_ir|iran_moh_ir,verified,medium,Count of verified person rows flagged doctor_flag.
NI-005,,phase3_iran,Iran,Iran-Israel Twelve-Day War,journalists_killed,0,persons,,,Journalists Killed: 0 (persons).,,,leaders,acled_ir,Count of verified person rows flagged journalist_flag.,acled_ir|hrana_ir|iran_moh_ir,verified,medium,Count of verified person rows flagged journalist_flag.
NI-006,,phase3_iran,Iran,Iran-Israel Twelve-Day War,commanders_killed,4,persons,,,Commanders Killed: 4 (persons).,,,leaders,acled_ir,Count of verified person rows flagged commander_flag.,acled_ir|hrana_ir|iran_moh_ir,verified,medium,Count of verified person rows flagged commander_flag.
NI-007,,phase3_iran,Iran,Iran-Israel Twelve-Day War,arrests,0,persons,,,Arrests: 0 (persons).,,,arrests,acled_ir,Sum of arrests across verified events and persons.,acled_ir|hrana_ir|iran_moh_ir,verified,medium,Sum of arrests across verified events and persons.
NI-008,,phase3_iran,Iran,Iran-Israel Twelve-Day War,detentions,0,persons,,,Detentions: 0 (persons).,,,arrests,acled_ir,Sum of detentions across verified events and persons.,acled_ir|hrana_ir|iran_moh_ir,verified,medium,Sum of detentions across verified events and persons.
