staging_id,fetched_at,phase,source_system,query_used,title,date_or_modified,org_or_source,url,citation_text,verification_status,confidence_level,notes
phase1_palestine-hdx-2026-07-14-40853,2026-07-14T15:11:51+00:00,1,HDX,Palestine OR Gaza OR oPt,"State of Palestine (PSE): Attacks on Aid Operations, Education, Food and Water Systems, Health Care and IDP/Refugee Camps, and Conflict-Related Sexual Violence and Explosive Weapons Incident Data",2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/opt-violent-and-threatening-incidents-against-healthcare,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-72634,2026-07-14T15:11:51+00:00,1,HDX,Palestine OR Gaza OR oPt,Conflict-Related Incidents Affecting Water Systems,2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/conflict-related-incidents-affecting-water-systems,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-61443,2026-07-14T15:11:51+00:00,1,HDX,Palestine OR Gaza OR oPt,Conflict-Related Incidents Affecting Food Systems,2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/conflict-hunger-and-aid-security,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-81294,2026-07-14T15:11:51+00:00,1,HDX,Palestine OR Gaza OR oPt,Escalations in Gaza - Response Prioritization,2026-07-14,OCHA occupied Palestinian territory (oPt),https://data.humdata.org/dataset/escalations-in-gaza-response-prioritization,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-28335,2026-07-14T15:11:51+00:00,1,HDX,Palestine OR Gaza OR oPt,State of Palestine - Electric Power Plant,2026-07-14,OCHA occupied Palestinian territory (oPt),https://data.humdata.org/dataset/state-of-palestine-other-0,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-81511,2026-07-14T15:11:51+00:00,1,HDX,Palestine OR Gaza OR oPt,State of Palestine: Violations Against Education,2026-07-14,Palestinian Central Bureau of Statistics,https://data.humdata.org/dataset/state-of-palestine-israeli-occupation-violations-against-education,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-87537,2026-07-14T15:11:51+00:00,1,HDX,Palestine OR Gaza OR oPt,oPt - CBPF Allocations and Contributions,2026-07-14,Country-Based Pooled Funds (OCHA),https://data.humdata.org/dataset/opt-cbpf-allocations-and-contributions,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-13-24166,2026-07-14T15:11:51+00:00,1,HDX,Palestine OR Gaza OR oPt,"State of Palestine - Land Use, Fertilizers and Inputs",2026-07-13,Food and Agriculture Organization (FAO) of the United Nations,https://data.humdata.org/dataset/pse-faostat-land-inputs,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-96159,2026-07-14T16:01:03+00:00,1,HDX,Palestine OR Gaza OR oPt,"State of Palestine (PSE): Attacks on Aid Operations, Education, Food and Water Systems, Health Care and IDP/Refugee Camps, and Conflict-Related Sexual Violence and Explosive Weapons Incident Data",2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/opt-violent-and-threatening-incidents-against-healthcare,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-41602,2026-07-14T16:01:03+00:00,1,HDX,Palestine OR Gaza OR oPt,Conflict-Related Incidents Affecting Water Systems,2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/conflict-related-incidents-affecting-water-systems,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
